Country;Economic status1;Coastal population2;Waste generation rate [kg/person/day]3;% Plastic in waste stream4;% Inadequately managed waste5;% Littered waste6;Waste generation [kg/day]7;Plastic waste generation [kg/day]7;Inadequately managed plastic waste [kg/day]7;"Plastic waste littered
 [kg/day]7";Mismanaged plastic waste [kg/person/day]7;"Mismanaged plastic waste in 2010
 [tonnes]7";"Mismanaged plastic waste in 2025
 [tonnes]7";Per capita plastic waste (kilograms per person per day)
Marshall Islands;UMI;58.086;1.2;16;77;2;69.703;11.118;8.510;222;150,000;3.187;5.717;192
Martinique;HIC;402.257;2.1;12;0;2;844.740;100.946;33;2.019;5,000;749;955;252
Mauritania;LI;1.005.481;0.5;9;82;2;502.741;44.995;37.056;900;38,000;13.854;39.754;45
Mauritius;UMI;1.255.952;2.3;10;51;2;2.888.690;287.425;147.817;5.748;122,000;56.051;73.172;0.23
Mexico;UMI;22.647.771;1.24;7;12;2;28.083.236;1.951.785;238.616;39.036;12,000;101.343;233.393;87
Micronesia;LMI;154.895;0.79;13;81;2;122.367;15.847;12.818;317;85,000;4.794;10.699;103
Monaco;HIC;34.050;2.1;12;0;2;71.505;8.545;0;171;5,000;62;88;252
Montenegro;UMI;260.336;1.2;12;30;2;312.403;37.332;11.353;747;46,000;4.416;7.244;144
Montserrat;UMI;5.173;1.2;12;12;2;6.208;742;89;15;20,000;38;71;144
Morocco;LMI;17.303.431;1.46;5;66;2;25.263.009;1.250.519;824.650;25.010;49,000;310.126;706.583;73
Mozambique;LI;9.566.559;0.14;11;84;2;1.339.318;146.655;123.081;2.933;13,000;45.995;287.067;15
Myanmar;LI;18.988.522;0.44;17;87;2;8.354.950;1.416.164;1.227.208;28.323;66,000;458.269;1.149.267;75
Namibia;UMI;155.084;1.2;12;66;2;186.101;22.239;14.570;445;97,000;5.480;11.340;144
Nauru;UMI;15.289;1.2;12;67;2;18.347;2.192;1.473;44;99,000;554;1.043;144
Netherlands;HIC;8.971.770;2.12;20;0;2;19.020.152;3.794.520;0;75.890;8,000;27.700;32.387;424
Netherlands Antilles;HIC;227.165;2.1;12;0;2;477.047;57.007;0;1.140;5,000;416;368;252
New Caledonia;HIC;257.904;2.1;12;0;2;541.598;64.721;0;1.294;5,000;472;702;252
New Zealand;HIC;3.862.054;3.68;9;0;2;14.212.359;1.272.006;0;25.440;7,000;9.286;11.517;331
Nicaragua;LMI;3.482.653;1.1;13;45;2;3.830.918;496.104;221.353;9.922;66,000;84.415;169.439;143
Nigeria;LMI;27.477.112;0.79;13;81;2;21.706.918;2.811.046;2.276.636;56.221;85,000;851.493;2.481.008;103
Niue;HIC;1.799;2.1;12;0;2;3.778;451;1;9;6,000;4;5;252
Norfolk Island;LMI;2.156;0.79;13;82;2;1.703;221;182;4;86,000;68;156;103
North Korea;LI;17.327.483;0.6;9;88;2;10.396.490;930.486;815.165;18.610;48,000;304.328;610.607;54
Northern Mariana Islands;HIC;106.256;2.1;12;0;2;223.138;26.665;66;533;6,000;219;309;252
Norway;HIC;4.131.679;2.8;10;0;2;11.568.701;1.151.086;0;23.022;6,000;8.403;9.798;0.28
Oman;HIC;2.597.556;0.7;12;4;2;1.818.289;217.286;8.416;4.346;5,000;4.658;11.774;84
Pakistan;LMI;14.581.952;0.79;13;86;2;11.519.742;1.491.807;1.286.583;29.836;90,000;480.493;1.221.460;103
Palau;UMI;23.446;1.2;12;56;2;28.135;3.362;1.895;67;84,000;716;1.350;144
Palestine;LMI;3.045.258;0.79;8;6;2;2.405.754;191.257;11.515;3.825;5,000;5.599;18.676;63
Panama;UMI;3.249.531;1.21;12;18;2;3.931.933;469.866;84.815;9.397;29,000;34.388;70.759;145
